variable,filtre_MI,filtre_F,integre_Lasso_abs,integre_RF_importance,wrapper_RFE_rang
num__estimated_transit_days,0.8246133971851748,149215.94306842514,3.934346356855977,0.9512596146938078,1
num__shipping_cost_ngn,0.0,0.014575450022615833,0.0,0.015056717025907525,21
num__quantity,6.59077311864209e-05,6.647646721099472,0.0,0.014220048017397546,14
te__destination_city,0.0,4.570525679236533,0.0,0.006300921587050934,1
te__origin_city,1.0612022617983996e-05,0.00661974138215,0.0,0.002886280287975847,1
oh__supplier_name_Supplier_D,0.0,1.2014679420839012,0.0,0.0006813458737305039,10
oh__supplier_name_Supplier_B,0.0012691787715590763,0.3155263519656728,0.0,0.0006077234208036216,9
oh__supplier_name_Supplier_E,0.0,1.8860704255063803,0.0,0.0005919802493374595,1
oh__supplier_name_Supplier_C,0.0,3.3782668187260922,0.0,0.0005772173204074172,13
oh__logistics_company_Kwik Delivery,0.0,0.10213712696368264,0.0,0.0004738300549771828,17
oh__logistics_company_Fedex Nigeria,0.003569625583375924,0.8157012181262675,0.0,0.00045733237463460336,1
oh__logistics_company_GIG Logistics,0.0,2.4566781052283213,0.0,0.0004521202618390959,19
oh__ship_day_of_week_3,0.0049754317533396986,0.1954471031961855,0.0,0.00045166872515058835,11
oh__ship_day_of_week_5,0.0044836137058847925,0.3904804220529652,0.0,0.0004374538551866878,18
oh__ship_day_of_week_4,0.004874213358800006,0.9597544175309918,0.0,0.00042770317193347617,1
oh__ship_day_of_week_2,0.001007172568871617,1.3611313748405633,0.0,0.00042577503482816627,15
oh__ship_day_of_week_6,0.0,1.495317819333406,0.0,0.000420897278451432,16
oh__logistics_company_DHL Nigeria,0.004140804469510151,1.689909612503995,0.0,0.00041335545532909774,4
oh__logistics_company_Dispatch Riders,0.0,0.11049028241119384,0.0,0.00040682708211072264,12
oh__logistics_company_Red Star Express,0.0027390398471185406,0.04346642488682758,0.0,0.00040616418850645294,7
oh__ship_day_of_week_1,0.0,0.3106471499477382,0.0,0.00037715727883280893,8
oh__ship_month_6,0.0,0.02731012478997912,0.0,0.0003351979065317082,1
oh__ship_month_9,0.0,2.0997287260066457,0.0,0.0003259792194855961,1
oh__ship_month_2,0.0,0.22014130149298577,0.0,0.0003223694395952942,2
oh__ship_month_3,0.011543372114014794,0.9380883699656117,0.0,0.00031731110247799427,20
oh__ship_month_5,0.005780592277891294,0.5609243722186165,0.0,0.00030120831429320585,1
oh__ship_month_7,0.0,3.005617609048417,0.0,0.00028975161565977044,3
oh__ship_month_8,0.0,1.4731833596192716,0.0,0.0002773996759556812,5
oh__ship_month_4,0.0041712999576297705,0.1434501739257557,0.0,0.0002676457345637603,1
oh__ship_month_10,0.0009663561854384994,0.6993324111128819,0.0,0.00023100375323812787,6
